DATE,POC_Code,T2M,Island,Fuel_Code,Latitude,Longitude
2019-06-04,WDV1101,11.19,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-05,WDV1101,9.38,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-06,WDV1101,8.74,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-07,WDV1101,8.05,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-08,WDV1101,9.07,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-09,WDV1101,7.89,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-10,WDV1101,11.18,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-11,WDV1101,10.91,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-12,WDV1101,10.88,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-13,WDV1101,12.78,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-14,WDV1101,12.87,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-15,WDV1101,10.78,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-16,WDV1101,10.13,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-17,WDV1101,8.51,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-18,WDV1101,6.06,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-19,WDV1101,5.11,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-20,WDV1101,5.42,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-21,WDV1101,10.12,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-22,WDV1101,9.3,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-23,WDV1101,8.32,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-24,WDV1101,7.35,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-25,WDV1101,6.84,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-26,WDV1101,6.02,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-27,WDV1101,7.02,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-28,WDV1101,5.7,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-29,WDV1101,5.74,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-30,WDV1101,6.61,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-01,WDV1101,6.43,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-02,WDV1101,9.57,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-03,WDV1101,12.53,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-04,WDV1101,11.2,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-05,WDV1101,6.96,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-06,WDV1101,7.79,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-07,WDV1101,7.66,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-08,WDV1101,9.08,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-09,WDV1101,9.23,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-10,WDV1101,9.23,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-11,WDV1101,10.61,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-12,WDV1101,10.04,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-13,WDV1101,11.45,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-14,WDV1101,11.03,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-15,WDV1101,9.24,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-16,WDV1101,9.97,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-17,WDV1101,9.35,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-18,WDV1101,8.75,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-19,WDV1101,9.51,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-20,WDV1101,9.46,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-21,WDV1101,9.03,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-22,WDV1101,8.36,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-23,WDV1101,8.88,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-24,WDV1101,8.44,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-25,WDV1101,8.49,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-26,WDV1101,8.87,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-27,WDV1101,9.3,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-28,WDV1101,9.2,NI,Wind,-40.31545683722073,175.85606683277967
2019-07-29,WDV1101,8.34,NI,Wind,-40.31545683722073,175.85606683277967
