DATE,Avg_WS50M
21/11/2017,4.9792
22/11/2017,3.3254
23/11/2017,2.1692
24/11/2017,4.2392
25/11/2017,3.6492
26/11/2017,2.8508
27/11/2017,2.31
28/11/2017,1.9238
29/11/2017,2.0408
30/11/2017,3.5523
1/12/2017,4.81
2/12/2017,7.1531
3/12/2017,6.6162
4/12/2017,5.6931
5/12/2017,5.7715
6/12/2017,4.66
7/12/2017,4.1538
8/12/2017,6.54
9/12/2017,8.9477
10/12/2017,9.9115
11/12/2017,9.2562
12/12/2017,6.8646
13/12/2017,5.8377
14/12/2017,6.6592
15/12/2017,6.7146
16/12/2017,4.0469
17/12/2017,6.4685
18/12/2017,7.58
19/12/2017,9.5569
20/12/2017,9.5623
21/12/2017,5.79
22/12/2017,6.1346
23/12/2017,4.7738
24/12/2017,6.1015
25/12/2017,8.2615
26/12/2017,7.8262
27/12/2017,9.1338
28/12/2017,10.2808
29/12/2017,7.3238
30/12/2017,3.8538
31/12/2017,7.4377
1/01/2018,3.5408
2/01/2018,3.8269
3/01/2018,3.85
4/01/2018,5.2946
5/01/2018,10.3446
6/01/2018,10.5069
7/01/2018,5.4085
8/01/2018,4.8738
9/01/2018,6.9354
10/01/2018,6.5562
11/01/2018,4.2562
12/01/2018,4.9831
13/01/2018,5
14/01/2018,4.32
15/01/2018,5.1954
16/01/2018,5.8023
17/01/2018,7.11
18/01/2018,7.1338
19/01/2018,4.3246
20/01/2018,8.0254
21/01/2018,4.8331
22/01/2018,4.8569
23/01/2018,6.2208
24/01/2018,6.4162
25/01/2018,5.6146
26/01/2018,4.8269
27/01/2018,4.0146
28/01/2018,4.4308
29/01/2018,3.4708
30/01/2018,6.8715
31/01/2018,8.0192
1/02/2018,12.8792
2/02/2018,8.1154
3/02/2018,7.65
4/02/2018,6.0277
5/02/2018,10.4385
6/02/2018,8.9531
7/02/2018,5.9669
8/02/2018,5.8738
9/02/2018,4.8277
10/02/2018,4.0762
11/02/2018,6.69
12/02/2018,8.0338
13/02/2018,7.1638
14/02/2018,5.2169
15/02/2018,7.5408
16/02/2018,7.8123
17/02/2018,8.9831
18/02/2018,8.1931
19/02/2018,7.7738
20/02/2018,9.7446
21/02/2018,10.0369
22/02/2018,6.4108
23/02/2018,4.0823
24/02/2018,5.7292
25/02/2018,11.2746
26/02/2018,8.8277
27/02/2018,5.9631
28/02/2018,5.37
1/03/2018,4.77
2/03/2018,4.9369
3/03/2018,5.21
4/03/2018,4.7408
5/03/2018,4.1369
6/03/2018,5.1938
7/03/2018,9.7638
8/03/2018,10.0254
9/03/2018,10.6862
10/03/2018,5.7746
11/03/2018,4.8123
12/03/2018,6.5515
13/03/2018,10.3708
14/03/2018,7.4446
