DATE,POC_Code,RH2M
2016-12-21,ARA2201,66.52
2016-12-22,ARA2201,76.27
2016-12-23,ARA2201,72.43
2016-12-24,ARA2201,60.56
2016-12-25,ARA2201,68.27
2016-12-26,ARA2201,67.48
2016-12-27,ARA2201,70.33
2016-12-28,ARA2201,60.29
2016-12-29,ARA2201,66.12
2016-12-30,ARA2201,58.27
2016-12-31,ARA2201,60.76
2017-01-01,ARA2201,74.98
2017-01-02,ARA2201,80.43
2017-01-03,ARA2201,88.76
2017-01-04,ARA2201,65.34
2017-01-05,ARA2201,45.56
2017-01-06,ARA2201,63.78
2017-01-07,ARA2201,57.62
2017-01-08,ARA2201,63.61
2017-01-09,ARA2201,67.56
2017-01-10,ARA2201,68.4
2017-01-11,ARA2201,65.4
2017-01-12,ARA2201,69.24
2017-01-13,ARA2201,60.48
2017-01-14,ARA2201,53.91
2017-01-15,ARA2201,72.47
2017-01-16,ARA2201,53.06
2017-01-17,ARA2201,54.15
2017-01-18,ARA2201,68.78
2017-01-19,ARA2201,73.08
2017-01-20,ARA2201,62.64
2017-01-21,ARA2201,70.1
2017-01-22,ARA2201,79.43
2017-01-23,ARA2201,73.9
2017-01-24,ARA2201,59.05
2017-01-25,ARA2201,75.83
2017-01-26,ARA2201,60.26
2017-01-27,ARA2201,61.78
2017-01-28,ARA2201,57.42
2017-01-29,ARA2201,62.49
2017-01-30,ARA2201,57.91
2017-01-31,ARA2201,66.91
2017-02-01,ARA2201,72.89
2017-02-02,ARA2201,77.73
2017-02-03,ARA2201,61.47
2017-02-04,ARA2201,52.67
2017-02-05,ARA2201,56.53
2017-02-06,ARA2201,62.74
2017-02-07,ARA2201,76.46
2017-02-08,ARA2201,85.78
2017-02-09,ARA2201,66.06
2017-02-10,ARA2201,60.36
2017-02-11,ARA2201,53.95
2017-02-12,ARA2201,74.9
2017-02-13,ARA2201,79.75
2017-02-14,ARA2201,75.76
2017-02-15,ARA2201,55.66
2017-02-16,ARA2201,83.52
2017-02-17,ARA2201,93.03
2017-02-18,ARA2201,92.51
2017-02-19,ARA2201,88.66
2017-02-20,ARA2201,78.66
2017-02-21,ARA2201,67.79
2017-02-22,ARA2201,72.11
