Fuel_Code,Trading_date,Total_TP
Wind,2015-05-30,0.0
Hydro,2015-05-30,66902325.016
Hydro,2015-05-30,0.0
Wind,2015-05-30,5657296.0923
Hydro,2015-05-31,0.0
Hydro,2015-05-31,62476355.1
Wind,2015-05-31,5050911.7729
Wind,2015-05-31,0.0
Hydro,2015-06-01,64825319.093
Wind,2015-06-01,0.0
Hydro,2015-06-01,0.0
Wind,2015-06-01,2939125.7829000005
Hydro,2015-06-02,72215272.629
Wind,2015-06-02,3861476.6245
Wind,2015-06-02,0.0
Hydro,2015-06-02,0.0
Hydro,2015-06-03,76195832.37
Wind,2015-06-03,4487187.905099999
Wind,2015-06-03,0.0
Hydro,2015-06-03,0.0
Wind,2015-06-04,0.0
Hydro,2015-06-04,79360528.07
Hydro,2015-06-04,0.0
Wind,2015-06-04,4541438.8967
Wind,2015-06-05,1880446.7734
Wind,2015-06-05,0.0
Hydro,2015-06-05,0.0
Hydro,2015-06-05,82358097.31
Hydro,2015-06-06,0.0
Hydro,2015-06-06,75432911.94
Wind,2015-06-06,2700605.1117
Wind,2015-06-06,0.0
Hydro,2015-06-07,0.0
Hydro,2015-06-07,70791726.0
Wind,2015-06-07,0.0
Wind,2015-06-07,5806768.73
Wind,2015-06-08,0.0
Hydro,2015-06-08,0.0
Hydro,2015-06-08,76380972.73
Wind,2015-06-08,7806133.2298
Hydro,2015-06-09,0.0
Wind,2015-06-09,9509070.6614
Hydro,2015-06-09,72886802.761
Wind,2015-06-09,0.0
Hydro,2015-06-10,0.0
Wind,2015-06-10,0.0
Hydro,2015-06-10,73438395.9
Wind,2015-06-10,8149226.83
Hydro,2015-06-11,0.0
Hydro,2015-06-11,76456330.23
Wind,2015-06-11,6854417.22
Wind,2015-06-11,0.0
Wind,2015-06-12,0.0
Hydro,2015-06-12,0.0
Hydro,2015-06-12,75447010.95
Wind,2015-06-12,7832984.66
Wind,2015-06-13,7402047.97
Hydro,2015-06-13,0.0
Hydro,2015-06-13,70885965.48
Wind,2015-06-13,0.0
Wind,2015-06-14,0.0
Hydro,2015-06-14,65007901.06
Hydro,2015-06-14,0.0
Wind,2015-06-14,7439521.326
Wind,2015-06-15,5029121.9213
Hydro,2015-06-15,0.0
Hydro,2015-06-15,78685760.59
Wind,2015-06-15,0.0
Hydro,2015-06-16,83639010.39
Hydro,2015-06-16,0.0
Wind,2015-06-16,0.0
Wind,2015-06-16,1837649.0528
Wind,2015-06-17,0.0
Hydro,2015-06-17,81794294.23
Wind,2015-06-17,4817934.0117
Hydro,2015-06-17,0.0
Hydro,2015-06-18,74553844.66
Hydro,2015-06-18,0.0
Wind,2015-06-18,8964089.965
Wind,2015-06-18,0.0
Wind,2015-06-19,8694690.592799999
Hydro,2015-06-19,0.0
Hydro,2015-06-19,74987133.05
Wind,2015-06-19,0.0
Wind,2015-06-20,0.0
Wind,2015-06-20,6447150.6156
Hydro,2015-06-20,0.0
Hydro,2015-06-20,67529099.18
Hydro,2015-06-21,0.0
Hydro,2015-06-21,64003195.72
Wind,2015-06-21,0.0
Wind,2015-06-21,7429195.1122
Hydro,2015-06-22,0.0
Hydro,2015-06-22,79203470.81
Wind,2015-06-22,5242404.5448
Wind,2015-06-22,0.0
Hydro,2015-06-23,84067093.861
Wind,2015-06-23,0.0
Hydro,2015-06-23,0.0
Wind,2015-06-23,5551613.6106
Hydro,2015-06-24,85012558.93
Wind,2015-06-24,0.0
Wind,2015-06-24,3115299.2766
Hydro,2015-06-24,0.0
Hydro,2015-06-25,0.0
Hydro,2015-06-25,84363046.83
Wind,2015-06-25,3157800.0113
Wind,2015-06-25,0.0
Wind,2015-06-26,9493402.52
Hydro,2015-06-26,0.0
Hydro,2015-06-26,77375798.82000001
Wind,2015-06-26,0.0
Hydro,2015-06-27,0.0
Wind,2015-06-27,0.0
Hydro,2015-06-27,73407380.227
Wind,2015-06-27,6678212.7497000005
Wind,2015-06-28,9443331.9
Hydro,2015-06-28,65534636.389
Hydro,2015-06-28,0.0
Wind,2015-06-28,0.0
Wind,2015-06-29,9650888.4
Hydro,2015-06-29,69187298.4
Hydro,2015-06-29,0.0
Wind,2015-06-29,0.0
Hydro,2015-06-30,74555288.92
Wind,2015-06-30,7220103.902000001
Hydro,2015-06-30,0.0
Wind,2015-06-30,0.0
Hydro,2015-07-01,0.0
Wind,2015-07-01,5050036.847
Wind,2015-07-01,0.0
Hydro,2015-07-01,72841653.22
Wind,2015-07-02,6806964.3682
Hydro,2015-07-02,0.0
Hydro,2015-07-02,72415106.12
Wind,2015-07-02,0.0
Hydro,2015-07-03,72548953.36
Wind,2015-07-03,0.0
Hydro,2015-07-03,0.0
Wind,2015-07-03,8156588.278
Wind,2015-07-04,0.0
Wind,2015-07-04,5145037.2523
Hydro,2015-07-04,66646147.02
Hydro,2015-07-04,0.0
Wind,2015-07-05,7725180.247
Hydro,2015-07-05,0.0
Wind,2015-07-05,0.0
Hydro,2015-07-05,61029172.79
Wind,2015-07-06,7892999.086
Hydro,2015-07-06,69858271.8
Wind,2015-07-06,0.0
Hydro,2015-07-06,0.0
Hydro,2015-07-07,0.0
Wind,2015-07-07,0.0
Wind,2015-07-07,3903915.7859
Hydro,2015-07-07,76865575.09
Hydro,2015-07-08,78131870.93
Hydro,2015-07-08,0.0
Wind,2015-07-08,0.0
Wind,2015-07-08,5298915.4331
Wind,2015-07-09,0.0
Hydro,2015-07-09,81925910.3
Wind,2015-07-09,4561135.9034
Hydro,2015-07-09,0.0
Wind,2015-07-10,3694040.3928
Hydro,2015-07-10,0.0
Wind,2015-07-10,0.0
Hydro,2015-07-10,80889299.36400001
Hydro,2015-07-11,77249173.19680001
Wind,2015-07-11,640854.0471
Hydro,2015-07-11,0.0
Wind,2015-07-11,0.0
Hydro,2015-07-12,75457259.3364
Wind,2015-07-12,1077981.9967999998
Wind,2015-07-12,0.0
Hydro,2015-07-12,0.0
Hydro,2015-07-13,84478176.0588
Wind,2015-07-13,0.0
Hydro,2015-07-13,0.0
Wind,2015-07-13,1588947.4660999998
Hydro,2015-07-14,80964368.53999999
Wind,2015-07-14,0.0
Hydro,2015-07-14,0.0
Wind,2015-07-14,3573895.2769
Hydro,2015-07-15,0.0
Hydro,2015-07-15,74209006.98
Wind,2015-07-15,0.0
Wind,2015-07-15,4702946.6312
Wind,2015-07-16,0.0
Hydro,2015-07-16,74810839.117
Wind,2015-07-16,3843673.8494
Hydro,2015-07-16,0.0
Hydro,2015-07-17,0.0
Hydro,2015-07-17,72555186.0844
Wind,2015-07-17,4888840.8198
Wind,2015-07-17,0.0
Hydro,2015-07-18,68990017.5
Hydro,2015-07-18,0.0
Wind,2015-07-18,4647106.5221
Wind,2015-07-18,0.0
Wind,2015-07-19,4837330.4854
Hydro,2015-07-19,69946412.2
Wind,2015-07-19,0.0
Hydro,2015-07-19,0.0
Hydro,2015-07-20,77420139.13
Wind,2015-07-20,0.0
Hydro,2015-07-20,0.0
Wind,2015-07-20,5149775.743
Hydro,2015-07-21,78200286.91
Wind,2015-07-21,0.0
Wind,2015-07-21,3746635.959
Hydro,2015-07-21,0.0
Hydro,2015-07-22,0.0
Wind,2015-07-22,0.0
Wind,2015-07-22,2701716.1752
Hydro,2015-07-22,76276210.04
Hydro,2015-07-23,0.0
Wind,2015-07-23,0.0
Wind,2015-07-23,6030263.7034
Hydro,2015-07-23,75202996.15
Hydro,2015-07-24,73595854.159
Wind,2015-07-24,5508284.9597
Wind,2015-07-24,0.0
Hydro,2015-07-24,0.0
Wind,2015-07-25,0.0
Hydro,2015-07-25,0.0
Wind,2015-07-25,3224715.6659
Hydro,2015-07-25,70335395.65
Hydro,2015-07-26,62287640.47
Hydro,2015-07-26,0.0
Wind,2015-07-26,0.0
Wind,2015-07-26,7388107.653
Hydro,2015-07-27,0.0
