DATE,Avg_PS
2018-01-07,99.7246
2018-01-08,100.0046
2018-01-09,100.0762
2018-01-10,100.0577
2018-01-11,100.1846
2018-01-12,100.2462
2018-01-13,100.1138
2018-01-14,100.0931
2018-01-15,100.2077
2018-01-16,100.18
2018-01-17,100.0138
2018-01-18,99.8454
2018-01-19,99.9723
2018-01-20,100.0885
2018-01-21,100.2023
2018-01-22,99.9131
2018-01-23,99.8062
2018-01-24,99.79
2018-01-25,99.9115
2018-01-26,100.2885
2018-01-27,100.3169
2018-01-28,100.3315
2018-01-29,100.4669
2018-01-30,100.1669
2018-01-31,99.4685
2018-02-01,98.1315
2018-02-02,98.3808
2018-02-03,99.5054
2018-02-04,99.7638
2018-02-05,99.1292
2018-02-06,99.4631
2018-02-07,100.6092
2018-02-08,100.8438
2018-02-09,100.19
2018-02-10,99.6662
2018-02-11,99.0577
2018-02-12,99.2354
2018-02-13,99.6208
2018-02-14,99.7054
2018-02-15,99.6923
2018-02-16,99.8015
2018-02-17,99.7538
2018-02-18,99.94
2018-02-19,99.7277
2018-02-20,98.78
2018-02-21,98.8623
2018-02-22,99.32
2018-02-23,99.7485
2018-02-24,99.9223
2018-02-25,99.4062
2018-02-26,99.7546
2018-02-27,100.5154
2018-02-28,100.3008
2018-03-01,99.8862
2018-03-02,99.8177
2018-03-03,99.8008
2018-03-04,99.6708
2018-03-05,99.6085
2018-03-06,99.5631
2018-03-07,99.4892
2018-03-08,99.57
2018-03-09,100.1254
2018-03-10,100.7715
2018-03-11,100.6092
2018-03-12,99.5392
2018-03-13,98.8431
2018-03-14,99.8877
